File,Line,Style Content,Is Legitimate,Priority
app/admin/bitly/page.tsx,728,"display: 'flex', alignItems: 'center', justifyContent: 'space-between', gap: '1rem', marginBottom: '1rem'",No,Low
app/admin/bitly/page.tsx,729,"color: '#6b7280', fontSize: '0.875rem'",No,Low
app/admin/bitly/page.tsx,761,"width: '18%', minWidth: '150px'",No,Low
app/admin/bitly/page.tsx,773,"width: '22%', minWidth: '150px'",No,Low
app/admin/bitly/page.tsx,782,"width: '25%', minWidth: '200px'",No,Low
app/admin/bitly/page.tsx,786,"width: '10%', minWidth: '80px'",No,Low
app/admin/bitly/page.tsx,798,"width: '15%', minWidth: '120px'",No,Low
app/admin/bitly/page.tsx,807,"width: '10%', minWidth: '150px'",No,Low
app/admin/bitly/page.tsx,813,"wordBreak: 'break-all', maxWidth: '200px'",No,Low
app/admin/bitly/page.tsx,825,"wordBreak: 'break-word', maxWidth: '250px'",No,Low
app/admin/bitly/page.tsx,826,"maxWidth: '280px'",No,Low
app/admin/bitly/page.tsx,830,"marginBottom: '8px', display: 'flex', flexWrap: 'wrap', gap: '4px'",No,Low
app/admin/bitly/page.tsx,834,"display: 'inline-flex',
                                alignItems: 'center',
                                gap: '4px',
                                padding: '2px 8px',
                                fontSize: '12px',
                                backgroundColor: '#e3f2fd',
                                color: '#1976d2',
                                borderRadius: '12px',
                                border: '1px solid #90caf9'",No,Low
app/admin/bitly/page.tsx,851,"background: 'none',
                                  border: 'none',
                                  color: '#1976d2',
                                  cursor: 'pointer',
                                  padding: '0',
                                  fontSize: '14px',
                                  lineHeight: '1',
                                  fontWeight: 'bold',
                                  opacity: 0.7",No,Low
app/admin/categories/page.tsx,294,"display: 'flex', alignItems: 'center', justifyContent: 'space-between', gap: '1rem', marginBottom: '1rem'",No,Low
app/admin/categories/page.tsx,295,"color: '#6b7280', fontSize: '0.875rem'",No,Low
app/admin/categories/page.tsx,354,"textAlign: 'center', marginTop: '1rem'",No,Low
app/admin/categories/page.tsx,360,"color: '#6b7280', fontSize: '0.875rem'",No,Low
app/admin/design/page.tsx,425,"background: (styleForm as any)?.contentBackgroundColor || 'rgba(255,255,255,0.95)'",No,Low
app/admin/design/page.tsx,574,"background: style.titleBubble.backgroundColor",No,Low
app/admin/filter/page.tsx,362,"display: 'flex', alignItems: 'center', justifyContent: 'space-between', gap: '1rem', marginBottom: '1rem'",No,Low
app/admin/filter/page.tsx,363,"color: '#6b7280', fontSize: '0.875rem'",No,Low
app/admin/users/page.tsx,272,"display: 'flex', alignItems: 'center', justifyContent: 'space-between', gap: '1rem', marginBottom: '1rem'",No,Low
app/admin/users/page.tsx,273,"color: '#6b7280', fontSize: '0.875rem'",No,Low
app/admin/users/page.tsx,284,"textAlign: 'center', padding: '2rem', color: '#6b7280'",No,Low
app/admin/users/page.tsx,321,"textAlign: 'center', marginTop: '1rem'",No,Low
app/admin/users/page.tsx,327,"color: '#6b7280', fontSize: '0.875rem'",No,Low
app/debug/hashtag-categories/page.tsx,108,"color: '#f59e0b'",No,Low
app/error.tsx,36,"lineHeight: '1.6'",No,Low
app/filter/[slug]/page.tsx,376,"maxWidth: '1400px', margin: '0 auto'",No,Low
app/filter/[slug]/page.tsx,388,"cursor: 'pointer'",No,Low
app/filter/[slug]/page.tsx,393,"cursor: 'pointer', width: '16px', height: '16px'",No,Low
app/hashtag/[hashtag]/page.tsx,339,"cursor: 'pointer'",No,Low
app/hashtag/[hashtag]/page.tsx,351,"padding: 0",No,Low
app/layout.tsx,65,"/* What: Set active font family from cookie selection
           Why: CSS variables enable instant font switching without reload */
        fontFamily: fontMap[selectedFont] || fontMap.inter,",No,Low
app/not-found.tsx,30,"lineHeight: '1.6'",No,Low
app/stats/[slug]/page.tsx,313,"padding: '1rem'",No,Low
app/stats/[slug]/page.tsx,396,"maxWidth: '1400px',
          margin: '0 auto',
          width: '100%'",No,Low
app/stats/[slug]/page.tsx,425,"cursor: 'pointer',
                  width: '16px',
                  height: '16px'",No,Low
components/AdminDashboard.tsx,176,"textDecoration: 'none'",No,Low
components/AdminDashboardNew.tsx,22,"textAlign: 'center', marginBottom: '3rem'",No,Low
