file_path,line_number,raw_value,context_snippet,why_hardcoded,proposed_token_or_remediation_path
app/charts.css,46,#1a202c,"  font-size: 1.1rem;
  font-weight: 600;
  color: #1a202c;
  margin: 0;
  text-align: left;",Color value hardcoded instead of using design token,var(--mm-gray-900)
app/charts.css,139,#1a202c,"  font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, sans-serif;
  font-weight: 700;
  fill: #1a202c;
  font-size: 20px;
}",Color value hardcoded instead of using design token,var(--mm-gray-900)
app/charts.css,146,#6b7280,"  font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, sans-serif;
  font-weight: 500;
  fill: #6b7280;
  font-size: 12px;
  text-transform: uppercase;",Color value hardcoded instead of using design token,var(--mm-gray-500)
app/charts.css,176,#374151,"  font-size: 0.875rem;
  font-weight: 600;
  color: #374151;
  margin-bottom: 0.75rem;
  text-align: center;",Color value hardcoded instead of using design token,var(--mm-gray-700)
app/charts.css,231,#3b82f6,"   Why: TailAdmin V2 - removed all gradients */
.indoor-segment { 
  background: #3b82f6;
}
.outdoor-segment { ",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/charts.css,234,#10b981,"}
.outdoor-segment { 
  background: #10b981;
}
.stadium-segment { ",Color value hardcoded instead of using design token,var(--mm-color-success-500)
app/charts.css,237,#f59e0b,"}
.stadium-segment { 
  background: #f59e0b;
}
",Color value hardcoded instead of using design token,var(--mm-color-warning-500)
app/charts.css,242,#8b5cf6,"/* Bar Segment Colors - Age Distribution - Flat Design */
.gen-alpha-segment { 
  background: #8b5cf6;
}
.gen-yz-segment { ",Color value hardcoded instead of using design token,var(--mm-color-secondary-500)
app/charts.css,245,#06b6d4,"}
.gen-yz-segment { 
  background: #06b6d4;
}
.gen-x-segment { ",Color value hardcoded instead of using design token,var(--mm-color-*)
app/charts.css,248,#f97316,"}
.gen-x-segment { 
  background: #f97316;
}
.boomer-segment { ",Color value hardcoded instead of using design token,var(--mm-color-*)
app/charts.css,251,#ef4444,"}
.boomer-segment { 
  background: #ef4444;
}
",Color value hardcoded instead of using design token,var(--mm-color-error-500)
app/charts.css,278,#1e40af,".legend-small.indoor { 
  background: rgba(59, 130, 246, 0.1); 
  color: #1e40af; 
  border-color: rgba(59, 130, 246, 0.3);
}",Color value hardcoded instead of using design token,var(--mm-color-*)
