file_path,line_number,snippet,classification,reason,remediation_path
app/partner-report/[slug]/page.tsx,150,"marginTop: '1rem', fontSize: '0.875rem', color: '#666'",Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/visualization/page.tsx,1020,"display: 'flex', alignItems: 'center', gap: '1rem', flexWrap: 'wrap'",Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/visualization/page.tsx,1108,"fontSize: '1rem', marginRight: '0.25rem'",Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/visualization/page.tsx,1235,"display: 'flex', justifyContent: 'flex-end', gap: 'var(--mm-space-3)'",Allowed,Uses CSS custom properties (design tokens),Keep as-is (dynamic value) or add eslint-disable comment
app/admin/visualization/page.tsx,1253,"display: 'flex', gap: 'var(--mm-space-3)', alignItems: 'flex-end'",Allowed,Uses CSS custom properties (design tokens),Keep as-is (dynamic value) or add eslint-disable comment
app/admin/visualization/page.tsx,1255,flex: 1,Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/visualization/page.tsx,1277,"paddingBottom: 'var(--mm-space-6)', borderBottom: '1px solid var(--mm-gray-200)'",Allowed,Uses CSS custom properties (design tokens),Keep as-is (dynamic value) or add eslint-disable comment
app/admin/visualization/page.tsx,1280,marginBottom: 'var(--mm-space-4)',Allowed,Uses CSS custom properties (design tokens),Keep as-is (dynamic value) or add eslint-disable comment
app/admin/visualization/page.tsx,1288,"fontSize: '1rem', marginRight: '0.5rem'",Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/visualization/page.tsx,1297,marginBottom: 'var(--mm-space-4)',Allowed,Uses CSS custom properties (design tokens),Keep as-is (dynamic value) or add eslint-disable comment
app/admin/visualization/page.tsx,1308,"fontSize: '1rem', marginRight: '0.5rem'",Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/design/page.tsx,63,padding: '1rem',Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/kyc/page.tsx,230,"fontSize: '1rem', marginRight: '0.25rem'",Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/kyc/page.tsx,252,"fontSize: '1rem', marginRight: '0.25rem'",Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/unauthorized/page.tsx,51,fontSize: '3rem',Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/unauthorized/page.tsx,65,<div style={{,Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/unauthorized/page.tsx,73,<div style={{,Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/unauthorized/page.tsx,81,<span style={{,Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/unauthorized/page.tsx,89,color: 'var(--mm-gray-900)',Allowed,Uses CSS custom properties (design tokens),Keep as-is (dynamic value) or add eslint-disable comment
app/admin/unauthorized/page.tsx,94,<span style={{,Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/unauthorized/page.tsx,108,<p style={{,Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/unauthorized/page.tsx,121,<div style={{,Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/dashboard/page.tsx,382,style={{,Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/dashboard/page.tsx,390,style={{,Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/styles/page.tsx,212,backgroundColor: color,Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/register/page.tsx,206,"marginTop: '1rem', textAlign: 'center'",Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/register/page.tsx,208,"marginBottom: '0.5rem', color: 'var(--mm-gray-600)', fontSize: 'var(--mm-font-size-sm)'",Allowed,Uses CSS custom properties (design tokens),Keep as-is (dynamic value) or add eslint-disable comment
app/admin/partners/page_old_backup.tsx,1228,"fontSize: '1rem', marginRight: '0.25rem'",Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/partners/page_old_backup.tsx,1239,"fontSize: '1rem', marginRight: '0.25rem'",Forbidden,Static style should be moved to CSS module,Move to CSS module
app/admin/partners/[id]/analytics/page.tsx,704,"fontSize: 'var(--mm-font-size-xs)', color: isNeutral ? 'var(--mm-gray-500)' : isPositive ? 'var(--mm-color-secondary-600)' : 'var(--mm-error)'",Allowed,Uses CSS custom properties (design tokens),Keep as-is (dynamic value) or add eslint-disable comment
